Source,Destination,Duration,Skills
B.E.,M.S. (Foreign University),2,
B.E.,M.B.A.,2,
B.E.,M.Tech (IIT),2,
B.E.,Government Contractor (Civil/ Electrical),,
I.E.S. Exam,Job in Railway,,
I.E.S. Exam,Job in Public Sector Company,,
Merchant Navy,Marine Engineer,4,
M.E.,Engineer,,
M.E.,Teacher,,
MPSC,IAS,,
UPSC,IAS,,
Defence Direct Entry,Indian Navy,,
Defence Direct Entry,Airforce,,
B.C.A.,M.C.A.,3,
B.C.A.,M.C.S.,10 months,
B.C.A.,M.C.M.,2,
B.C.A.,M.B.A.,2,
B.C.S.,M.C.A.,3,
B.C.S.,M.C.S.,10 months,
B.C.S.,M.C.M.,2,
B.C.S.,M.B.A.,2,
Film & Television Diploma (FTII),Job in Film Production,,
Film & Television Diploma (FTII),Job in TV Channels,,
Film Editing Cinematography,Job in Film Production,,
Film Editing Cinematography,Job in TV Channels,,
Film Processing,Job in Film Production,,
Film Processing,Job in TV Channels,,
,,,
12th Science,12th Science With PCB,2,
12th Science With PCB,B.A.M.S.,5.5 yr,
12th Science With PCB,B.H.M.S.,5.5 yr,
12th Science With PCB,B.V.Sc.,5.5 yr,
12th Science With PCB,B.D.S.,5,
12th Science With PCB,M.B.B.S.,5.5 yr,
12th Science With PCB,Paramedical Courses,,
12th Science With PCB,B.Sc. Nurshing,4,
12th Science With PCB,Diploma in Nursing,3,
12th Science With PCB,B.M.L.T.,3.5 yr,
12th Science With PCB,B.Sc. Home Science,3,
12th Science With PCB,"B.Sc. (Botony, Micro biology, Zoology, Physics, Chemistry etc.)",3,
,,,
Paramedical Courses,Medical Lab Technology,3,
Paramedical Courses,Hospital Food Service Management,2 yr approx,
Paramedical Courses,Medical X-Ray Technology,2,
Paramedical Courses,Medical Records Technology,3,
Paramedical Courses,Operation Theater Technology,2,
Paramedical Courses,Opthalmic Technology,2,
Paramedical Courses,Health Inspector,3,
Paramedical Courses,Dialysis Technology,2,
Paramedical Courses,Auxiliary MIISE/MIDWIFERY,2,
"B.Sc. (Botony, Micro biology, Zoology, Physics, Chemistry etc.)",M.Sc,2,
"B.Sc. (Botony, Micro biology, Zoology, Physics, Chemistry etc.)",M.Sc (Bio-Tech),2,
M.Sc,M.Phil,1,
M.Phil,Ph.D.,3,
M.Sc (Bio-Tech),M.Tech (Bio-Tech),2,
B.A.M.S.,M.D.,4,
B.D.S.,M.D.S.,3,
M.B.B.S.,M.D.,4,
M.B.B.S.,M.S.,3,
M.B.B.S.,Special Diploma,3,
,,,
12th Arts,D.Ed.,,
12th Arts,B.S.W.,3,
12th Arts,L.L.B. Foundation,3,
12th Arts,Fashion Designing Diploma,1,
12th Arts,Interior Designing Diploma,1,
12th Arts,B.A.,3,
12th Arts,B.B.A.,3,
12th Arts,Foreign Languages Diploma,1,
12th Arts,Call Center Job,,
D.Ed.,Teacher,,
